url,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,popularity
http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/22px-Flag_of_Iraq.svg.png,1,1,3,1,16,72,62,63,1
http://en.wikipedia.org/images/wikimedia-button.png,2,2,39,0,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Apache_Wickiup%2C_Edward_Curtis%2C_1903.jpg/300px-Apache_Wickiup%2C_Edward_Curtis%2C_1903.jpg,1,1,3,1,7,73,63,64,0
http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LGBridge.jpg/300px-LGBridge.jpg,1,1,3,1,3,3,64,65,0
http://es.wikipedia.org/skins-1.5/common/commonPrint.css?99,3,4,7,5,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flammulina_velutipes.JPG/200px-Flammulina_velutipes.JPG,1,1,3,1,11,74,65,66,0
http://es.wikipedia.org/skins-1.5/monobook/IE60Fixes.css?99,3,4,6,3,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/26px-Wikisource-logo.svg.png,1,1,3,1,3,75,66,67,1
http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Mandragora_Tacuinum_Sanitatis.jpg/125px-Mandragora_Tacuinum_Sanitatis.jpg,1,1,3,1,12,76,67,68,0
http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Disambig.svg/20px-Disambig.svg.png,1,1,3,1,30,53,40,69,1
http://pl.wikipedia.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,4,3,13,2,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/ARS_cucumber.jpg/250px-ARS_cucumber.jpg,1,1,3,1,4,77,68,70,0
http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/25px-Wikibooks-logo.svg.png,1,1,3,1,16,57,54,71,1
http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Coat_of_arms_of_Saudi_Arabia.png/125px-Coat_of_arms_of_Saudi_Arabia.png,1,1,3,1,14,78,69,72,0
http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/600px_Colo_Colo.png/20px-600px_Colo_Colo.png,1,1,3,1,21,79,70,73,0
http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/A380-trent900.JPG/180px-A380-trent900.JPG,1,1,3,1,7,80,71,74,0
http://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Unbalanced_scales.svg/40px-Unbalanced_scales.svg.png,1,1,1,1,16,81,72,75,1
http://pl.wikipedia.org/skins-1.5/monobook/user.gif,4,4,6,13,0,0,0,0,1
http://en.wikipedia.org/wiki/Jewish_holiday,2,5,47,0,0,0,0,0,0
http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/22px-Flag_of_Panama.svg.png,1,1,3,1,11,82,73,76,0
http://es.wikipedia.org/skins-1.5/monobook/user.gif,3,4,6,13,0,0,0,0,1
http://pt.wikipedia.org/skins-1.5/monobook/main.css?99,7,4,6,9,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Europe_location_CHE.png/330px-Europe_location_CHE.png,1,1,3,1,15,83,74,77,0
http://upload.wikimedia.org/wikipedia/en/thumb/4/46/Plano_stone_church13.jpg/100px-Plano_stone_church13.jpg,1,1,1,1,3,84,75,78,1
http://en.wikipedia.org/skins-1.5/common/commonPrint.css?97,2,4,7,29,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Romania_flag_1947-1989.png/20px-Romania_flag_1947-1989.png,1,1,3,1,16,85,76,79,0
http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flyfishing.jpg/350px-Flyfishing.jpg,1,1,3,1,13,86,77,80,0
